Designator,Mid X,Mid Y,Rotation,Layer
C1,109.75,-63.48,180.0,top
C10,135.3675,-85.75,180.0,top
C11,144.0925,-88.0,0.0,top
C12,144.0877,-86.4894,0.0,top
C13,144.0925,-85.0,0.0,top
C14,173.7625,-94.5,0.0,top
C15,172.65,-83.3625,90.0,top
C16,166.7875,-85.75,180.0,top
C17,175.5125,-88.0,0.0,top
C18,175.5077,-86.4894,0.0,top
C19,175.5125,-85.0,0.0,top
C2,109.75,-71.1075,180.0,top
C3,114.81,-32.25,0.0,top
C4,146.7141,-131.25,90.0,top
C5,145.25,-131.25,270.0,top
C6,142.9,-118.8875,270.0,top
C7,144.4,-118.8875,90.0,top
C8,142.3425,-94.5,0.0,top
C9,141.23,-83.3625,90.0,top
D1,141.0,-132.25,270.0,top
D2,148.5,-139.3125,90.0,top
J1,110.0,-110.1625,90.0,top
J2,127.85,-127.0,0.0,top
J3,159.35,-127.25,0.0,top
R1,109.75,-81.23,0.0,top
R10,172.48,-103.9283,270.0,top
R11,170.73,-103.9525,270.0,top
R12,174.23,-103.9125,270.0,top
R13,175.98,-103.9125,270.0,top
R14,168.98,-103.9525,270.0,top
R15,167.23,-103.9525,90.0,top
R16,166.15,-93.4125,90.0,top
R2,150.5,-139.1625,270.0,top
R3,140.75,-103.9936,270.0,top
R4,139.0,-103.98,270.0,top
R5,142.48,-103.9778,270.0,top
R6,144.23,-103.9778,270.0,top
R7,137.25,-103.98,270.0,top
R8,135.5,-103.98,90.0,top
R9,134.73,-93.4125,90.0,top
S1,141.0,-139.25,180.0,top
S2,127.75,-98.75,90.0,top
S3,159.25,-71.25,90.0,top
S4,159.29,-98.75,90.0,top
U2,106.25,-79.99,0.0,top
U3,143.7,-125.1,270.0,top
U4,138.475,-95.55,0.0,top
U5,139.755,-87.7,0.0,top
U6,169.895,-95.55,0.0,top
U7,171.175,-87.7,0.0,top
VR1,127.75,-86.73,0.0,top
VR2,127.71,-109.48,0.0,top
VR3,127.75,-69.98,0.0,top
VR4,143.75,-69.98,0.0,top
VR5,159.29,-86.73,0.0,top
VR6,159.25,-109.48,0.0,top
